运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷需求量(MWh),常规负荷失供量(MWh),常规负荷供电保障率(%),园区终端用电量(MWh),本地电力自给率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%),是否最优容量
离网配置储能,风电4-光伏1,4,1,47.151375243377416,876.924,172.82691365558736,19.708311513379424,60.72,0.0,100.0,703.7163831829615,100.0,80.29168848662059,50.04750836509202,78.9984698768398,65.4880211713575,65.48802117135752,0.69254609,2.000729514982295,1.620026353531275,0.0,0.0,55122.6,61132.8,24022.80401524417,56878.89831132466,47.151375243377416,3287.671232876712,16.20026353531275,126.49243652968036,0.0,0.0,200634.61763475393,4255.11698437542,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.151375243377416,876.924,172.82691365558736,19.708311513379424,60.72,0.0,100.0,703.7163831829615,100.0,80.29168848662059,50.04750836509202,78.9984698768398,65.4880211713575,65.48802117135752,0.69254609,2.000729514982295,1.620026353531275,0.0,0.0,55122.6,61132.8,24022.80401524417,56878.89831132466,47.151375243377416,3287.671232876712,16.20026353531275,126.49243652968036,0.0,0.0,200634.61763475393,4255.11698437542,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.151375243377416,876.924,172.82691365558736,19.708311513379424,60.72,0.0,100.0,703.7163831829615,100.0,80.29168848662059,50.04750836509202,78.9984698768398,65.4880211713575,65.48802117135752,0.69254609,2.000729514982295,1.620026353531275,0.0,0.0,55122.6,61132.8,24022.80401524417,56878.89831132466,47.151375243377416,3287.671232876712,16.20026353531275,126.49243652968036,0.0,0.0,200634.61763475393,4255.11698437542,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.15393132342889,876.924,172.76830788686678,19.701628406437365,60.72,0.0,100.0,703.7496122236307,100.0,80.29837159356263,50.0475083650921,79.00512633530711,65.49157128254011,65.49157128254014,0.73871583,2.1341115455437363,1.7280316560413707,0.0,0.0,55122.6,61132.8,24022.804015244208,56883.690961421125,47.15393132342889,3287.671232876712,17.280316560413706,134.92526575342464,0.0,0.0,200648.92572317933,4255.189760254092,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.15648740348037,876.924,172.70970211814426,19.694945299495085,60.72,0.0,100.0,703.7828412643,100.0,80.30505470050493,50.04750836509216,79.01178279377446,65.49512139372273,65.49512139372274,0.78488557,2.2674935761153527,1.8360369585597023,0.0,0.0,55122.6,61132.8,24022.804015244237,56888.4836115176,47.15648740348037,3287.671232876712,18.360369585597024,143.35809497716897,0.0,0.0,200663.2338116048,4255.262528243249,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.15904348353185,876.924,172.65109634942502,19.68826219255318,60.72,0.0,100.0,703.8160703049692,100.0,80.31173780744683,50.0475083650921,79.01843925224192,65.49867150490533,65.49867150490535,0.83105531,2.4008756066696106,1.944042261063983,0.0,0.0,55122.6,61132.8,24022.804015244208,56893.276261614184,47.15904348353185,3287.671232876712,19.44042261063983,151.79092420091322,0.0,0.0,200677.54190003016,4255.335288344168,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.16159956358334,876.924,172.59249058070432,19.681579085611105,60.72,0.0,100.0,703.8492993456384,100.0,80.3184209143889,50.047508365092,79.02509571070941,65.50222161608797,65.50222161608798,0.87722505,2.53425763723165,2.052047563574554,0.0,0.0,55122.6,61132.8,24022.80401524416,56898.068911710776,47.16159956358334,3287.671232876712,20.52047563574554,160.22375342465753,0.0,0.0,200691.84998845562,4255.408040558136,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.164155643634814,876.924,172.5338848119834,19.674895978669007,60.72,0.0,100.0,703.8825283863077,100.0,80.325104021331,50.04750836509212,79.0317521691767,65.50577172727056,65.50577172727057,0.92339479,2.667639667794756,2.1600528660860014,0.0,0.0,55122.6,61132.8,24022.80401524422,56902.86156180722,47.164155643634814,3287.671232876712,21.600528660860014,168.65658264840184,0.0,0.0,200706.15807688105,4255.480784886435,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.164155643634814,876.924,172.5338848119834,19.674895978669007,60.72,0.0,100.0,703.8825283863077,100.0,80.325104021331,50.04750836509212,79.0317521691767,65.50577172727056,65.50577172727057,0.92339479,2.667639667794756,2.1600528660860014,0.0,0.0,55122.6,61132.8,24022.80401524422,56902.86156180722,47.164155643634814,3287.671232876712,21.600528660860014,168.65658264840184,0.0,0.0,200706.15807688105,4255.480784886435,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.17779595746915,876.924,172.31353422345177,19.64976830642698,60.72,0.0,100.0,703.8663032259134,100.0,80.35023169357302,49.72492629802429,79.34953312847128,65.52471660759602,65.52471660759605,1.15424349,3.911671564903741,3.167509014268993,0.0,0.0,55122.6,61132.8,23867.96462305166,57131.66385249932,47.17779595746915,3287.671232876712,31.675090142689932,210.82072876712328,0.0,0.0,200832.373323295,4256.925726338417,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.17779595746915,876.924,172.31353422345177,19.64976830642698,60.72,0.0,100.0,703.8663032259134,100.0,80.35023169357302,49.72492629802429,79.34953312847128,65.52471660759602,65.52471660759605,1.15424349,3.911671564903741,3.167509014268993,0.0,0.0,55122.6,61132.8,23867.96462305166,57131.66385249932,47.17779595746915,3287.671232876712,31.675090142689932,210.82072876712328,0.0,0.0,200832.373323295,4256.925726338417,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.194557562464304,876.924,171.94782712477553,19.608064909248185,60.72,0.0,100.0,704.0913129085015,100.0,80.39193509075182,49.736774327442944,79.3828161157382,65.54799661453373,65.54799661453376,1.38509219,4.651259972774833,3.766400006052087,0.0,0.0,55122.6,61132.8,23873.651677172613,57155.62760333149,47.194557562464304,3287.671232876712,37.66400006052087,252.98487488584473,0.0,0.0,200910.19394588965,4257.062770002139,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.20733773326169,876.924,171.65479828117145,19.574649374537756,60.72,0.0,100.0,704.2574547120812,100.0,80.42535062546224,49.736773632798915,79.41609841833656,65.56574685175234,65.56574685175235,1.61594089,5.318170126018494,4.3064231192712406,0.0,0.0,55122.6,61132.8,23873.65134374348,57179.59086120233,47.20733773326169,3287.671232876712,43.064231192712406,295.14902100456624,0.0,0.0,200981.7340277531,4257.425724012899,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.22011783994137,876.924,171.36176945026085,19.541233841274824,60.72,0.0,100.0,704.4235956803291,100.0,80.45876615872517,49.73677293515223,79.44938055658909,65.58349699991855,65.58349699991858,1.84678958,5.985080249514303,4.8464453801043685,0.0,0.0,55122.6,61132.8,23873.651008873072,57203.554000744145,47.22011783994137,3287.671232876712,48.46445380104369,337.3131652968037,0.0,0.0,201053.27397943175,4257.7884845803965,0.5,0.2,False
