场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh)_问题二,售电量(MWh)_问题二,最大购电功率(MW)_问题二,最大反送功率(MW)_问题二,交换功率峰谷差(MW)_问题二,最大爬坡功率(MW/h)_问题二,交换功率标准差(MW)_问题二,购电量(MWh)_问题三,售电量(MWh)_问题三,最大购电功率(MW)_问题三,最大反送功率(MW)_问题三,交换功率峰谷差(MW)_问题三,最大爬坡功率(MW/h)_问题三,交换功率标准差(MW)_问题三,购电量(MWh)_变化,售电量(MWh)_变化,最大购电功率(MW)_变化,最大反送功率(MW)_变化,交换功率峰谷差(MW)_变化,最大爬坡功率(MW/h)_变化,交换功率标准差(MW)_变化
风电2-光伏1,2,1,72,487.42799999999994,89.61199999999998,41.638200000000005,18.9182,60.556400000000004,13.957799999999992,21.661708767213067,487.42799999999994,89.612,41.638200000000005,18.9182,60.556400000000004,13.957799999999992,21.661708767213067,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
风电2-光伏2,2,2,36,298.45219999999995,140.0762,39.2842,31.752,71.0362,42.33,22.065493207570352,277.33639945744744,128.96039952297315,39.2842,36.7482,76.0324,42.330000000000005,21.634996779016138,-21.115800542552506,-11.115800477026852,0.0,4.996199999999998,4.996200000000002,7.105427357601002e-15,-0.4304964285542141
风电2-光伏2,2,2,45,351.27419999999995,68.3982,39.2842,26.1758,65.46,49.0958,18.944815717675027,278.2719391783776,3.2242000000000077,39.2842,2.1922,41.4764,39.8482,16.46093211605827,-73.00226082162237,-65.17399999999999,0.0,-23.9836,-23.983599999999996,-9.247599999999998,-2.483883601616757
风电2-光伏2,2,2,54,424.91200000000003,17.536,39.2842,7.4698,46.754,42.33,15.782704367756496,397.7970219534609,0.4680000000000075,39.2842,0.4680000000000004,39.7522,27.6618,15.208258194301125,-27.114978046539136,-17.067999999999994,0.0,-7.001799999999999,-7.001799999999996,-14.668199999999999,-0.574446173455371
风电2-光伏2,2,2,63,541.3782,9.5022,41.638200000000005,6.8420000000000005,48.4802,42.10620000000001,15.298822969213461,527.6644299180541,7.105427357601002e-15,41.638200000000005,7.105427357601002e-15,41.63820000000001,28.431799999999996,15.488420259520673,-13.713770081945881,-9.502199999999993,0.0,-6.841999999999993,-6.841999999999992,-13.674400000000013,0.18959729030721206
风电2-光伏2,2,2,72,656.376,0.0,41.638200000000005,0.0,41.3564,8.837800000000003,12.634782961861012,656.376,0.0,41.638200000000005,0.0,41.3564,8.837800000000003,12.634782961861013,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
风电2-光伏3,2,3,36,411.9984,87.86240000000001,39.2842,18.1782,57.4624,46.1302,21.35148493779505,314.60399999018273,0.4680000000000075,39.2842,0.4680000000000004,39.7522,34.86019999999999,16.052954813812867,-97.39440000981728,-87.3944,0.0,-17.7102,-17.7102,-11.27000000000001,-5.298530123982182
风电2-光伏3,2,3,45,526.4464,77.8104,40.936,18.1782,59.1142,46.1302,21.66500737284794,435.38831316142966,0.46800000000000574,39.2842,0.4680000000000004,39.7522,35.72,14.882683301266095,-91.05808683857038,-77.3424,-1.6518000000000015,-17.7102,-19.361999999999995,-10.410200000000003,-6.782324071581844
风电2-光伏3,2,3,54,616.5142000000001,43.3782,41.638200000000005,14.9882,56.626400000000004,44.61579999999999,18.579611156199032,568.4597417240375,0.46800000000000574,41.638200000000005,0.4680000000000004,42.10620000000001,42.10620000000001,16.81774393003867,-48.05445827596259,-42.910199999999996,0.0,-14.5202,-14.520199999999996,-2.5095999999999847,-1.761867226160362
风电2-光伏3,2,3,63,705.2182,7.5822,41.638200000000005,4.922000000000001,46.56020000000001,42.10620000000001,12.728575246228027,689.0645715147236,0.0,41.638200000000005,0.0,39.016400000000004,23.89,10.688986198027093,-16.153628485276386,-7.5822,0.0,-4.922000000000001,-7.5438000000000045,-18.216200000000008,-2.0395890482009342
