场景,日氨产量(t/day),问题二日净成本(¥/day),问题二净吨氨成本(¥/t),问题二购电量(MWh),问题二售电量(MWh),问题二新能源自发自用比例(%),问题二新能源供电占比(%),问题二上网电量比例(%),问题二达标指标数,问题二达标状态,问题三日净成本(¥/day),问题三净吨氨成本(¥/t),问题三购电量(MWh),问题三售电量(MWh),问题三新能源自发自用比例(%),问题三新能源供电占比(%),问题三上网电量比例(%),问题三达标指标数,问题三达标状态,日成本节约(¥/day),相对成本节约率(%),吨氨成本下降(¥/t),购电量变化(MWh),售电量变化(MWh),新能源自发自用比例(%)变化,新能源供电占比(%)变化,上网电量比例(%)变化,达标指标数变化
风电3-光伏1,45,135356.79313287674,3007.92873628615,223.3262,320.9462,17.79463142257057,67.31269576417552,41.10268428871472,1,部分达标,133150.51814287587,2958.900403175019,223.32619940328928,338.19619949073297,13.376312819339939,66.46602708341027,43.31184359033003,1,部分达标,2206.2749900008785,1.6299699031987462,49.028333111130905,-5.967107199467137e-07,17.24999949073299,-4.418318603230633,-0.8466686807652479,2.2091593016153084,0
风电3-光伏1,36,73299.2431328767,2036.090087024353,223.3262,445.4462,-14.09410378566672,60.02895904925541,57.047051892833366,1,部分达标,72020.24314287674,2000.562309524354,223.3261995013259,455.4461995615522,-16.655447866797854,59.30051765457104,58.327723933398936,1,部分达标,1278.999989999953,1.7449020417323884,35.52777749999882,-4.986740975709836e-07,9.999999561552215,-2.561344081131134,-0.7284413946843742,1.2806720405655696,0
风电3-光伏2,72,479823.9130328768,6664.22101434551,538.1664,3.726400000000005,98.5730259630849,49.07199636611402,0.7134870184575334,3,全部达标,479823.91303287674,6664.22101434551,538.1664000000001,3.7264000000000053,98.57302596308493,49.07199636611401,0.7134870184575334,3,全部达标,5.820766091346741e-11,1.2131046271859966e-14,0.0,1.1368683772161603e-13,4.440892098500626e-16,2.842170943040401e-14,-1.4210854715202004e-14,0.0,0
风电3-光伏2,63,375624.6349328768,5962.295792585345,438.8926,28.95260000000001,88.9129968599219,52.91963270472635,5.543501570039062,3,全部达标,364867.9529394703,5791.554808563021,410.20126263736284,3.726399999999998,98.57302596308493,55.833204310497585,0.713487018457532,3,全部达标,10756.681993406499,2.863678521864971,170.74098402232448,-28.69133736263717,-25.226200000000013,9.660029103163026,2.9135716057712386,-4.83001455158153,0
风电3-光伏2,54,290067.1111328767,5371.613169127347,336.4962,51.05620000000001,80.4487248219346,58.3399940573466,9.775637589032703,3,全部达标,271423.8158835267,5026.36696080605,277.8281874948234,3.726400000000009,98.57302596308493,65.11369397725845,0.713487018457534,3,全部达标,18643.29524935002,6.42723512380889,345.24620832129676,-58.66801250517659,-47.329800000000006,18.124301141150326,6.773699919911849,-9.062150570575168,0
风电3-光伏2,45,212279.70103287676,4717.326689619483,278.0304,117.09040000000002,55.16182890403615,59.30587512075172,22.41908554798193,1,部分达标,199703.29506027183,4437.851001339374,237.406199646199,90.82336997586924,65.22042966383196,64.50599598078843,17.389785168084025,3,全部达标,12576.40597260493,5.924450576957033,279.47568828010844,-40.62420035380097,-26.267030024130776,10.058600759795816,5.200120860036705,-5.029300379897904,2
风电3-光伏2,36,141740.4160328767,3937.2337786910193,245.1004,208.6604,20.096346787163988,56.1318012600229,39.95182660641802,1,部分达标,138203.02714287673,3838.9729761910203,237.40619950132367,210.96619956155033,19.213372305449056,56.73454593829622,40.39331384727547,1,部分达标,3537.388889999973,2.4956811818440516,98.26080249999904,-7.694200498676338,2.305799561550316,-0.8829744817149319,0.602744678273325,0.4414872408574553,0
风电3-光伏3,72,579375.8802328767,8046.887225456621,700.1999999999999,0.0,99.99999999999996,33.73836020894846,0.0,3,全部达标,579375.8802328767,8046.887225456621,700.1999999999999,0.0,100.00000000000003,33.73836020894845,0.0,3,全部达标,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-14,-7.105427357601002e-15,0.0,0
风电3-光伏3,63,474361.5621328768,7529.548605283759,599.0062,23.306200000000004,86.92572646695837,35.744116195747786,6.537136766520812,3,全部达标,459733.22313057166,7297.352748104312,567.1285714491353,0.0,99.99999999999996,38.599096130322266,0.0,3,全部达标,14628.339002305118,3.0837951828414525,232.19585717944665,-31.877628550864756,-23.306200000000004,13.074273533041591,2.85497993457448,-6.537136766520812,0
风电3-光伏3,54,379735.4382328767,7032.137745053273,522.284,71.084,60.12341523617187,35.338483632942115,19.938292381914057,3,全部达标,352008.1517823272,6518.669477450504,441.67521978021955,3.552713678800501e-15,99.99999999999999,44.66576486115347,9.964977220914676e-16,3,全部达标,27727.286450549494,7.301737909840653,513.4682676027687,-80.60878021978044,-71.084,39.87658476382811,9.327281228211355,-19.938292381914057,0
